Year,Rank,Title,Gross,Villain,Origin
2020,7,Onward,"$61,555,145",,
2020,8,The Croods: A New Age,"$58,568,815",,
2020,9,Tenet,"$58,504,105",Andrei Sator,United Kingdom
2020,10,Wonder Woman 1984,"$46,801,036",Maxwell Lord,United States
2021,1,Spider-Man: No Way Home,"$804,793,477",Green Goblin,"New York City, USA"
2021,2,Shang-Chi and the Legend of the Ten Rings,"$224,543,292",The Mandarin,Mongolia
2021,3,Venom: Let There Be Carnage,"$213,550,366",Carnage,United States
2021,4,Black Widow,"$183,651,655",Taskmaster,Russia
2021,5,F9: The Fast Saga,"$173,005,945",Jakob Toretto,United Kingdom
2021,6,Eternals,"$164,870,234",Deviants,Unknown
2021,7,Sing 2,"$162,790,990",Jimmy Crystal,Austria
2021,8,No Time to Die,"$160,891,007",Lyutsifer Safin,United Kingdom
2021,9,A Quiet Place Part II,"$160,072,261",The Creatures,Canada
2021,10,Ghostbusters: Afterlife,"$129,360,575",Gozer the Gozerian,United States
2022,1,Top Gun: Maverick,"$718,732,821",,
2022,2,Avatar: The Way of Water,"$684,075,767",RDA,France
2022,3,Black Panther: Wakanda Forever,"$453,829,060",Namor,Georgia
2022,4,Doctor Strange in the Multiverse of Madness,"$411,331,607",Scarlet Witch,Germany
2022,5,Jurassic World: Dominion,"$376,851,080",BioSyn,Malta
2022,6,Minions: The Rise of Gru,"$370,270,765",The Vicious 6,United Kingdom
2022,7,The Batman,"$369,345,583",The Riddler,Gotham City
2022,8,Thor: Love and Thunder,"$343,256,830",Gorr the God Butcher,Iceland
2022,9,Sonic the Hedgehog 2,"$190,872,904",Dr. Robotnik,Japan
2022,10,Puss in Boots: The Last Wish,"$186,090,535",Death (the wolf),Fairy tale world
2023,1,Barbie,"$636,238,421",,New Mexico
2023,2,The Super Mario Bros. Movie,"$574,934,330",Bowser,United States
2023,3,Spider-Man: Across the Spider-Verse,"$381,311,319",The Spot,United States
2023,4,Guardians of the Galaxy Vol. 3,"$358,995,815",High Evolutionary,Georgia
2023,5,Oppenheimer,"$329,862,540",,
2023,6,The Little Mermaid,"$298,172,056",Ursula,Denmark
2023,7,Wonka,"$218,402,312",The Chocolate Cartel,United Kingdom
2023,8,Ant-Man and the Wasp: Quantumania,"$214,504,909",Kang the Conqueror,Egypt
2023,9,John Wick: Chapter 4,"$187,131,806",The High Table,United States
2023,10,Sound of Freedom,"$184,178,046",Human traffickers,India
